Plot Title: rgaws_as,Z2802,GMT+8,,,,,
100,07/21/16 下午03时18分49秒,-999,,,,,
101,07/21/16 下午03时33分49秒,-999,,,,,
102,07/21/16 下午03时48分49秒,-999,,,,,
103,07/21/16 下午04时03分49秒,-999,,,,,
104,07/21/16 下午04时18分49秒,-999,,,,,
105,07/21/16 下午04时33分49秒,-999,,,,,
106,07/21/16 下午04时48分49秒,-999,,,,,
107,07/21/16 下午05时03分49秒,-999,,,,,
108,07/21/16 下午05时18分49秒,-999,,,,,
109,07/21/16 下午05时33分49秒,-999,,,,,
110,07/21/16 下午05时36分52秒,8,,,,,
111,07/21/16 下午05时48分49秒,-999,,,,,
112,07/21/16 下午06时03分49秒,-999,,,,,
113,07/21/16 下午06时18分49秒,-999,,,,,
114,07/21/16 下午06时33分49秒,-999,,,,,
115,07/21/16 下午06时48分49秒,-999,,,,,
116,07/21/16 下午07时03分49秒,-999,,,,,
117,07/21/16 下午07时18分49秒,-999,,,,,
118,07/21/16 下午07时33分49秒,-999,,,,,
119,07/21/16 下午07时48分49秒,-999,,,,,
120,07/21/16 下午08时03分49秒,-999,,,,,
121,07/21/16 下午08时18分49秒,-999,,,,,
122,07/21/16 下午08时33分49秒,-999,,,,,
123,07/21/16 下午08时48分49秒,-999,,,,,
124,07/21/16 下午09时03分49秒,-999,,,,,
125,07/21/16 下午09时18分49秒,-999,,,,,
126,07/21/16 下午09时33分49秒,-999,,,,,
127,07/21/16 下午09时48分49秒,-999,,,,,
128,07/21/16 下午10时03分49秒,-999,,,,,
129,07/21/16 下午10时18分49秒,-999,,,,,
130,07/21/16 下午10时33分49秒,-999,,,,,
131,07/21/16 下午10时48分49秒,-999,,,,,
132,07/21/16 下午11时03分49秒,-999,,,,,
133,07/21/16 下午11时18分49秒,-999,,,,,
134,07/21/16 下午11时33分49秒,-999,,,,,
135,07/21/16 下午11时48分49秒,-999,,,,,
136,07/22/16 上午12时03分49秒,-999,,,,,
137,07/22/16 上午12时18分49秒,-999,,,,,
138,07/22/16 上午12时33分49秒,-999,,,,,
139,07/22/16 上午12时48分49秒,-999,,,,,
140,07/22/16 上午01时03分49秒,-999,,,,,
141,07/22/16 上午01时18分49秒,-999,,,,,
142,07/22/16 上午01时33分49秒,-999,,,,,
143,07/22/16 上午01时48分49秒,-999,,,,,
144,07/22/16 上午02时03分49秒,-999,,,,,
145,07/22/16 上午02时18分49秒,-999,,,,,
146,07/22/16 上午02时33分49秒,-999,,,,,
147,07/22/16 上午02时40分27秒,9,,,,,
148,07/22/16 上午02时47分01秒,10,,,,,
149,07/22/16 上午02时48分49秒,-999,,,,,
150,07/22/16 上午02时50分52秒,11,,,,,
151,07/22/16 上午02时54分42秒,12,,,,,
152,07/22/16 上午02时57分52秒,13,,,,,
153,07/22/16 上午03时02分12秒,14,,,,,
154,07/22/16 上午03时03分49秒,-999,,,,,
155,07/22/16 上午03时06分18秒,15,,,,,
156,07/22/16 上午03时11分22秒,16,,,,,
157,07/22/16 上午03时14分00秒,17,,,,,
158,07/22/16 上午03时17分14秒,18,,,,,
159,07/22/16 上午03时18分49秒,-999,,,,,
160,07/22/16 上午03时19分54秒,19,,,,,
161,07/22/16 上午03时25分11秒,20,,,,,
162,07/22/16 上午03时29分51秒,21,,,,,
163,07/22/16 上午03时33分49秒,-999,,,,,
164,07/22/16 上午03时34分49秒,22,,,,,
165,07/22/16 上午03时37分30秒,23,,,,,
166,07/22/16 上午03时41分17秒,24,,,,,
167,07/22/16 上午03时46分58秒,25,,,,,
168,07/22/16 上午03时48分49秒,-999,,,,,
169,07/22/16 上午03时53分43秒,26,,,,,
170,07/22/16 上午03时57分24秒,27,,,,,
171,07/22/16 上午03时59分42秒,28,,,,,
172,07/22/16 上午04时03分31秒,29,,,,,
173,07/22/16 上午04时03分49秒,-999,,,,,
174,07/22/16 上午04时07分06秒,30,,,,,
175,07/22/16 上午04时07分07秒,31,,,,,
176,07/22/16 上午04时09分27秒,32,,,,,
177,07/22/16 上午04时14分59秒,33,,,,,
178,07/22/16 上午04时15分00秒,34,,,,,
179,07/22/16 上午04时17分29秒,35,,,,,
180,07/22/16 上午04时18分49秒,-999,,,,,
181,07/22/16 上午04时20分38秒,36,,,,,
182,07/22/16 上午04时24分31秒,37,,,,,
183,07/22/16 上午04时30分38秒,38,,,,,
184,07/22/16 上午04时33分49秒,-999,,,,,
185,07/22/16 上午04时37分56秒,39,,,,,
186,07/22/16 上午04时46分59秒,40,,,,,
187,07/22/16 上午04时48分49秒,-999,,,,,
188,07/22/16 上午04时51分31秒,41,,,,,
189,07/22/16 上午04时53分16秒,42,,,,,
190,07/22/16 上午04时54分57秒,43,,,,,
191,07/22/16 上午04时57分19秒,44,,,,,
192,07/22/16 上午04时59分41秒,45,,,,,
193,07/22/16 上午05时03分49秒,-999,,,,,
194,07/22/16 上午05时06分07秒,46,,,,,
195,07/22/16 上午05时11分56秒,47,,,,,
196,07/22/16 上午05时18分49秒,-999,,,,,
197,07/22/16 上午05时25分12秒,48,,,,,
198,07/22/16 上午05时33分49秒,-999,,,,,
199,07/22/16 上午05时48分49秒,-999,,,,,
200,07/22/16 上午06时03分49秒,-999,,,,,
201,07/22/16 上午06时08分06秒,49,,,,,
202,07/22/16 上午06时18分49秒,-999,,,,,
203,07/22/16 上午06时33分49秒,-999,,,,,
204,07/22/16 上午06时48分49秒,-999,,,,,
205,07/22/16 上午07时03分49秒,-999,,,,,
206,07/22/16 上午07时18分49秒,-999,,,,,
207,07/22/16 上午07时27分28秒,50,,,,,
208,07/22/16 上午07时33分49秒,-999,,,,,
209,07/22/16 上午07时48分49秒,-999,,,,,
210,07/22/16 上午08时03分49秒,-999,,,,,
211,07/22/16 上午08时18分49秒,-999,,,,,
212,07/22/16 上午08时33分49秒,-999,,,,,
213,07/22/16 上午08时48分49秒,-999,,,,,
214,07/22/16 上午09时03分49秒,-999,,,,,
215,07/22/16 上午09时12分00秒,51,,,,,
216,07/22/16 上午09时18分49秒,-999,,,,,
217,07/22/16 上午09时33分49秒,-999,,,,,
218,07/22/16 上午09时48分49秒,-999,,,,,
219,07/22/16 上午10时03分49秒,-999,,,,,
220,07/22/16 上午10时04分38秒,52,,,,,
221,07/22/16 上午10时18分49秒,-999,,,,,
222,07/22/16 上午10时33分49秒,-999,,,,,
223,07/22/16 上午10时48分49秒,-999,,,,,
224,07/22/16 上午11时03分49秒,-999,,,,,
225,07/22/16 上午11时18分49秒,-999,,,,,
226,07/22/16 上午11时33分49秒,-999,,,,,
227,07/22/16 上午11时48分49秒,-999,,,,,
228,07/22/16 下午12时03分49秒,-999,,,,,
229,07/22/16 下午12时18分49秒,-999,,,,,
230,07/22/16 下午12时33分49秒,-999,,,,,
231,07/22/16 下午12时48分49秒,-999,,,,,
232,07/22/16 下午01时03分49秒,-999,,,,,
233,07/22/16 下午01时18分49秒,-999,,,,,
234,07/22/16 下午01时28分26秒,53,,,,,
235,07/22/16 下午01时33分49秒,-999,,,,,
236,07/22/16 下午01时48分49秒,-999,,,,,
237,07/22/16 下午02时03分49秒,-999,,,,,
238,07/22/16 下午02时18分49秒,-999,,,,,
239,07/22/16 下午02时33分49秒,-999,,,,,
240,07/22/16 下午02时48分49秒,-999,,,,,
241,07/22/16 下午03时03分49秒,-999,,,,,
242,07/22/16 下午03时18分49秒,-999,,,,,
243,07/22/16 下午03时33分49秒,-999,,,,,
244,07/22/16 下午03时48分49秒,-999,,,,,
245,07/22/16 下午04时03分49秒,-999,,,,,
246,07/22/16 下午04时18分49秒,-999,,,,,
247,07/22/16 下午04时33分49秒,-999,,,,,
248,07/22/16 下午04时48分49秒,-999,,,,,
249,07/22/16 下午04时58分44秒,54,,,,,
250,07/22/16 下午05时03分49秒,-999,,,,,
251,07/22/16 下午05时18分49秒,-999,,,,,
252,07/22/16 下午05时33分49秒,-999,,,,,
253,07/22/16 下午05时48分49秒,-999,,,,,
254,07/22/16 下午06时03分49秒,-999,,,,,
255,07/22/16 下午06时18分49秒,-999,,,,,
256,07/22/16 下午06时32分04秒,55,,,,,
257,07/22/16 下午06时33分49秒,-999,,,,,
258,07/22/16 下午06时48分49秒,-999,,,,,
259,07/22/16 下午07时03分49秒,-999,,,,,
260,07/22/16 下午07时18分49秒,-999,,,,,
261,07/22/16 下午07时22分27秒,56,,,,,
262,07/22/16 下午07时33分49秒,-999,,,,,
263,07/22/16 下午07时48分49秒,-999,,,,,
264,07/22/16 下午08时03分49秒,-999,,,,,
265,07/22/16 下午08时18分49秒,-999,,,,,
266,07/22/16 下午08时33分49秒,-999,,,,,
267,07/22/16 下午08时48分49秒,-999,,,,,
268,07/22/16 下午09时03分49秒,-999,,,,,
269,07/22/16 下午09时18分49秒,-999,,,,,
270,07/22/16 下午09时33分49秒,-999,,,,,
271,07/22/16 下午09时48分49秒,-999,,,,,
272,07/22/16 下午10时03分49秒,-999,,,,,
273,07/22/16 下午10时18分49秒,-999,,,,,
274,07/22/16 下午10时33分49秒,-999,,,,,
275,07/22/16 下午10时48分49秒,-999,,,,,
276,07/22/16 下午11时03分49秒,-999,,,,,
277,07/22/16 下午11时13分01秒,57,,,,,
278,07/22/16 下午11时18分49秒,-999,,,,,
279,07/22/16 下午11时33分49秒,-999,,,,,
280,07/22/16 下午11时44分51秒,58,,,,,
281,07/22/16 下午11时48分49秒,-999,,,,,
282,07/22/16 下午11时56分54秒,59,,,,,
283,07/23/16 上午12时03分49秒,-999,,,,,
284,07/23/16 上午12时18分49秒,-999,,,,,
285,07/23/16 上午12时20分49秒,60,,,,,
286,07/23/16 上午12时26分42秒,61,,,,,
287,07/23/16 上午12时33分49秒,-999,,,,,
288,07/23/16 上午12时36分18秒,62,,,,,
289,07/23/16 上午12时40分34秒,63,,,,,
290,07/23/16 上午12时48分17秒,64,,,,,
291,07/23/16 上午12时48分49秒,-999,,,,,
292,07/23/16 上午12时55分14秒,65,,,,,
293,07/23/16 上午12时58分17秒,66,,,,,
294,07/23/16 上午01时01分26秒,67,,,,,
295,07/23/16 上午01时03分49秒,-999,,,,,
296,07/23/16 上午01时06分54秒,68,,,,,
297,07/23/16 上午01时18分49秒,-999,,,,,
298,07/23/16 上午01时21分58秒,69,,,,,
299,07/23/16 上午01时29分21秒,70,,,,,
300,07/23/16 上午01时33分49秒,-999,,,,,
301,07/23/16 上午01时48分49秒,-999,,,,,
302,07/23/16 上午02时03分49秒,-999,,,,,
303,07/23/16 上午02时18分49秒,-999,,,,,
304,07/23/16 上午02时33分49秒,-999,,,,,
305,07/23/16 上午02时48分49秒,-999,,,,,
306,07/23/16 上午03时03分49秒,-999,,,,,
307,07/23/16 上午03时18分49秒,-999,,,,,
308,07/23/16 上午03时33分49秒,-999,,,,,
309,07/23/16 上午03时48分49秒,-999,,,,,
310,07/23/16 上午04时03分49秒,-999,,,,,
311,07/23/16 上午04时18分49秒,-999,,,,,
312,07/23/16 上午04时33分49秒,-999,,,,,
313,07/23/16 上午04时36分05秒,71,,,,,
314,07/23/16 上午04时48分49秒,-999,,,,,
315,07/23/16 上午05时03分49秒,-999,,,,,
316,07/23/16 上午05时18分49秒,-999,,,,,
317,07/23/16 上午05时33分49秒,-999,,,,,
318,07/23/16 上午05时38分16秒,72,,,,,
319,07/23/16 上午05时48分49秒,-999,,,,,
320,07/23/16 上午05时52分27秒,73,,,,,
321,07/23/16 上午05时55分57秒,74,,,,,
322,07/23/16 上午05时57分12秒,75,,,,,
323,07/23/16 上午05时58分41秒,76,,,,,
324,07/23/16 上午05时59分56秒,77,,,,,
325,07/23/16 上午06时01分31秒,78,,,,,
326,07/23/16 上午06时03分30秒,79,,,,,
327,07/23/16 上午06时03分49秒,-999,,,,,
328,07/23/16 上午06时09分11秒,80,,,,,
329,07/23/16 上午06时16分34秒,81,,,,,
330,07/23/16 上午06时18分49秒,-999,,,,,
331,07/23/16 上午06时24分24秒,82,,,,,
332,07/23/16 上午06时32分32秒,83,,,,,
333,07/23/16 上午06时33分49秒,-999,,,,,
334,07/23/16 上午06时41分39秒,84,,,,,
335,07/23/16 上午06时47分46秒,85,,,,,
336,07/23/16 上午06时48分49秒,-999,,,,,
337,07/23/16 上午06时53分57秒,86,,,,,
338,07/23/16 上午07时03分49秒,-999,,,,,
339,07/23/16 上午07时05分25秒,87,,,,,
340,07/23/16 上午07时18分49秒,-999,,,,,
341,07/23/16 上午07时33分49秒,-999,,,,,
342,07/23/16 上午07时48分49秒,-999,,,,,
343,07/23/16 上午08时03分49秒,-999,,,,,
344,07/23/16 上午08时18分49秒,-999,,,,,
345,07/23/16 上午08时33分49秒,-999,,,,,
346,07/23/16 上午08时38分20秒,88,,,,,
347,07/23/16 上午08时46分50秒,89,,,,,
348,07/23/16 上午08时48分49秒,-999,,,,,
349,07/23/16 上午08时53分16秒,90,,,,,
350,07/23/16 上午08时56分41秒,91,,,,,
351,07/23/16 上午09时03分49秒,-999,,,,,
352,07/23/16 上午09时06分51秒,92,,,,,
353,07/23/16 上午09时14分04秒,93,,,,,
354,07/23/16 上午09时18分33秒,94,,,,,
355,07/23/16 上午09时18分49秒,-999,,,,,
356,07/23/16 上午09时26分58秒,95,,,,,
357,07/23/16 上午09时33分49秒,-999,,,,,
358,07/23/16 上午09时40分41秒,96,,,,,
359,07/23/16 上午09时45分00秒,97,,,,,
360,07/23/16 上午09时48分49秒,-999,,,,,
361,07/23/16 上午09时52分34秒,98,,,,,
362,07/23/16 上午09时58分28秒,99,,,,,
363,07/23/16 上午10时03分49秒,-999,,,,,
364,07/23/16 上午10时18分49秒,-999,,,,,
365,07/23/16 上午10时19分08秒,100,,,,,
366,07/23/16 上午10时33分17秒,101,,,,,
367,07/23/16 上午10时33分49秒,-999,,,,,
368,07/23/16 上午10时48分49秒,-999,,,,,
369,07/23/16 上午10时50分34秒,102,,,,,
370,07/23/16 上午11时00分41秒,103,,,,,
371,07/23/16 上午11时03分49秒,-999,,,,,
372,07/23/16 上午11时18分49秒,-999,,,,,
373,07/23/16 上午11时33分49秒,-999,,,,,
374,07/23/16 上午11时48分49秒,-999,,,,,
375,07/23/16 下午12时03分49秒,-999,,,,,
376,07/23/16 下午12时18分49秒,-999,,,,,
377,07/23/16 下午12时33分49秒,-999,,,,,
378,07/23/16 下午12时48分49秒,-999,,,,,
379,07/23/16 下午12时52分37秒,104,,,,,
380,07/23/16 下午12时56分25秒,105,,,,,
381,07/23/16 下午01时03分49秒,-999,,,,,
382,07/23/16 下午01时18分49秒,-999,,,,,
383,07/23/16 下午01时33分49秒,-999,,,,,
384,07/23/16 下午01时48分49秒,-999,,,,,
385,07/23/16 下午02时03分49秒,-999,,,,,
386,07/23/16 下午02时18分49秒,-999,,,,,
387,07/23/16 下午02时33分49秒,-999,,,,,
388,07/23/16 下午02时48分49秒,-999,,,,,
389,07/23/16 下午03时03分49秒,-999,,,,,
390,07/23/16 下午03时18分49秒,-999,,,,,
391,07/23/16 下午03时33分49秒,-999,,,,,
392,07/23/16 下午03时48分49秒,-999,,,,,
393,07/23/16 下午04时03分49秒,-999,,,,,
394,07/23/16 下午04时18分49秒,-999,,,,,
395,07/23/16 下午04时33分49秒,-999,,,,,
396,07/23/16 下午04时48分49秒,-999,,,,,
397,07/23/16 下午05时03分49秒,-999,,,,,
398,07/23/16 下午05时18分49秒,-999,,,,,
399,07/23/16 下午05时33分49秒,-999,,,,,
400,07/23/16 下午05时48分49秒,-999,,,,,
401,07/23/16 下午05时49分28秒,106,,,,,
402,07/23/16 下午06时03分49秒,-999,,,,,
403,07/23/16 下午06时18分49秒,-999,,,,,
404,07/23/16 下午06时33分49秒,-999,,,,,
405,07/23/16 下午06时48分49秒,-999,,,,,
406,07/23/16 下午07时03分49秒,-999,,,,,
407,07/23/16 下午07时18分49秒,-999,,,,,
408,07/23/16 下午07时33分49秒,-999,,,,,
409,07/23/16 下午07时48分49秒,-999,,,,,
410,07/23/16 下午08时03分49秒,-999,,,,,
411,07/23/16 下午08时18分49秒,-999,,,,,
412,07/23/16 下午08时33分49秒,-999,,,,,
413,07/23/16 下午08时48分49秒,-999,,,,,
414,07/23/16 下午09时03分49秒,-999,,,,,
415,07/23/16 下午09时15分04秒,107,,,,,
416,07/23/16 下午09时18分49秒,-999,,,,,
417,07/23/16 下午09时33分49秒,-999,,,,,
418,07/23/16 下午09时48分49秒,-999,,,,,
419,07/23/16 下午10时03分49秒,-999,,,,,
420,07/23/16 下午10时18分49秒,-999,,,,,
421,07/23/16 下午10时33分49秒,-999,,,,,
422,07/23/16 下午10时48分49秒,-999,,,,,
423,07/23/16 下午11时03分49秒,-999,,,,,
424,07/23/16 下午11时18分49秒,-999,,,,,
425,07/23/16 下午11时33分49秒,-999,,,,,
426,07/23/16 下午11时48分49秒,-999,,,,,
427,07/24/16 上午12时03分49秒,-999,,,,,
428,07/24/16 上午12时18分49秒,-999,,,,,
429,07/24/16 上午12时33分49秒,-999,,,,,
430,07/24/16 上午12时48分49秒,-999,,,,,
431,07/24/16 上午01时03分49秒,-999,,,,,
432,07/24/16 上午01时18分49秒,-999,,,,,
433,07/24/16 上午01时33分49秒,-999,,,,,
434,07/24/16 上午01时48分49秒,-999,,,,,
435,07/24/16 上午02时03分49秒,-999,,,,,
436,07/24/16 上午02时18分49秒,-999,,,,,
437,07/24/16 上午02时32分10秒,108,,,,,
438,07/24/16 上午02时33分49秒,-999,,,,,
439,07/24/16 上午02时37分02秒,109,,,,,
440,07/24/16 上午02时43分06秒,110,,,,,
441,07/24/16 上午02时46分17秒,111,,,,,
442,07/24/16 上午02时48分49秒,-999,,,,,
443,07/24/16 上午02时50分22秒,112,,,,,
444,07/24/16 上午02时53分15秒,113,,,,,
445,07/24/16 上午02时55分52秒,114,,,,,
446,07/24/16 上午02时59分46秒,115,,,,,
447,07/24/16 上午03时03分49秒,-999,,,,,
448,07/24/16 上午03时18分49秒,-999,,,,,
449,07/24/16 上午03时22分36秒,116,,,,,
450,07/24/16 上午03时33分49秒,-999,,,,,
451,07/24/16 上午03时48分49秒,-999,,,,,
452,07/24/16 上午04时03分49秒,-999,,,,,
453,07/24/16 上午04时07分24秒,117,,,,,
454,07/24/16 上午04时18分49秒,-999,,,,,
455,07/24/16 上午04时33分49秒,-999,,,,,
456,07/24/16 上午04时48分49秒,-999,,,,,
457,07/24/16 上午05时03分49秒,-999,,,,,
458,07/24/16 上午05时18分49秒,-999,,,,,
459,07/24/16 上午05时33分49秒,-999,,,,,
460,07/24/16 上午05时37分58秒,118,,,,,
461,07/24/16 上午05时48分49秒,-999,,,,,
462,07/24/16 上午06时03分49秒,-999,,,,,
463,07/24/16 上午06时18分49秒,-999,,,,,
464,07/24/16 上午06时33分49秒,-999,,,,,
465,07/24/16 上午06时43分31秒,119,,,,,
466,07/24/16 上午06时48分49秒,-999,,,,,
467,07/24/16 上午06时55分00秒,120,,,,,
468,07/24/16 上午07时03分07秒,121,,,,,
469,07/24/16 上午07时03分49秒,-999,,,,,
470,07/24/16 上午07时11分17秒,122,,,,,
471,07/24/16 上午07时16分10秒,123,,,,,
472,07/24/16 上午07时18分49秒,-999,,,,,
473,07/24/16 上午07时32分35秒,124,,,,,
474,07/24/16 上午07时33分49秒,-999,,,,,
475,07/24/16 上午07时48分49秒,-999,,,,,
476,07/24/16 上午07时52分48秒,125,,,,,
477,07/24/16 上午08时03分49秒,-999,,,,,
478,07/24/16 上午08时18分49秒,-999,,,,,
479,07/24/16 上午08时33分49秒,-999,,,,,
480,07/24/16 上午08时48分49秒,-999,,,,,
481,07/24/16 上午09时03分49秒,-999,,,,,
482,07/24/16 上午09时18分49秒,-999,,,,,
483,07/24/16 上午09时33分49秒,-999,,,,,
484,07/24/16 上午09时48分49秒,-999,,,,,
485,07/24/16 上午10时03分49秒,-999,,,,,
486,07/24/16 上午10时18分49秒,-999,,,,,
487,07/24/16 上午10时33分49秒,-999,,,,,
488,07/24/16 上午10时48分49秒,-999,,,,,
489,07/24/16 上午11时03分49秒,-999,,,,,
490,07/24/16 上午11时18分49秒,-999,,,,,
491,07/24/16 上午11时33分49秒,-999,,,,,
492,07/24/16 上午11时48分49秒,-999,,,,,
493,07/24/16 下午12时03分49秒,-999,,,,,
494,07/24/16 下午12时16分48秒,126,,,,,
495,07/24/16 下午12时18分49秒,-999,,,,,
496,07/24/16 下午12时31分22秒,127,,,,,
497,07/24/16 下午12时33分49秒,-999,,,,,
498,07/24/16 下午12时35分13秒,128,,,,,
499,07/24/16 下午12时44分27秒,129,,,,,
500,07/24/16 下午12时48分49秒,-999,,,,,
501,07/24/16 下午12时54分40秒,130,,,,,
502,07/24/16 下午01时03分49秒,-999,,,,,
503,07/24/16 下午01时18分49秒,-999,,,,,
504,07/24/16 下午01时33分49秒,-999,,,,,
505,07/24/16 下午01时48分49秒,-999,,,,,
506,07/24/16 下午02时03分49秒,-999,,,,,
507,07/24/16 下午02时18分49秒,-999,,,,,
508,07/24/16 下午02时33分49秒,-999,,,,,
509,07/24/16 下午02时48分49秒,-999,,,,,
510,07/24/16 下午03时03分49秒,-999,,,,,
511,07/24/16 下午03时18分49秒,-999,,,,,
512,07/24/16 下午03时33分49秒,-999,,,,,
513,07/24/16 下午03时48分49秒,-999,,,,,
514,07/24/16 下午04时03分49秒,-999,,,,,
515,07/24/16 下午04时18分49秒,-999,,,,,
516,07/24/16 下午04时33分49秒,-999,,,,,
517,07/24/16 下午04时48分49秒,-999,,,,,
518,07/24/16 下午05时03分49秒,-999,,,,,
519,07/24/16 下午05时18分49秒,-999,,,,,
520,07/24/16 下午05时33分49秒,-999,,,,,
521,07/24/16 下午05时48分49秒,-999,,,,,
522,07/24/16 下午06时03分49秒,-999,,,,,
523,07/24/16 下午06时18分49秒,-999,,,,,
524,07/24/16 下午06时33分49秒,-999,,,,,
525,07/24/16 下午06时48分49秒,-999,,,,,
526,07/24/16 下午07时03分49秒,-999,,,,,
527,07/24/16 下午07时18分49秒,-999,,,,,
528,07/24/16 下午07时33分49秒,-999,,,,,
529,07/24/16 下午07时48分49秒,-999,,,,,
530,07/24/16 下午08时03分49秒,-999,,,,,
531,07/24/16 下午08时18分49秒,-999,,,,,
532,07/24/16 下午08时33分49秒,-999,,,,,
533,07/24/16 下午08时48分49秒,-999,,,,,
534,07/24/16 下午09时03分49秒,-999,,,,,
535,07/24/16 下午09时18分49秒,-999,,,,,
536,07/24/16 下午09时33分49秒,-999,,,,,
537,07/24/16 下午09时48分49秒,-999,,,,,
538,07/24/16 下午10时03分49秒,-999,,,,,
539,07/24/16 下午10时18分49秒,-999,,,,,
540,07/24/16 下午10时33分49秒,-999,,,,,
